Ankray,Orday,Artpay ofay eechspay,Equencyfray,Ispersionday
135,eethray,may,266744,0.98
136,enwhay,ray,268219,0.97
137,atestay,nay,272193,0.94
138,evernay,ray,262584,0.96
139,ecomebay,vay,259102,0.97
140,etweenbay,iay,264158,0.94
141,ighhay,jay,255936,0.96
142,eallyray,ray,263414,0.91
143,omethingsay,pay,254910,0.94
144,ostmay,ray,246360,0.96
145,anotheray,day,240646,0.98
146,uchmay,day,244507,0.97
147,amilyfay,nay,243267,0.97
148,ownay,day,240452,0.98
149,outay,iay,242443,0.96
150,eavelay,vay,240482,0.96
151,utpay,vay,237480,0.96
152,olday,jay,236577,0.96
153,ilewhay,cay,234555,0.97
154,eanmay,vay,242198,0.93
155,onay,ray,236980,0.95
156,eepkay,vay,231760,0.96
157,udentstay,nay,255047,0.88
158,ywhay,ray,235442,0.95
159,etlay,vay,240300,0.93
160,eatgray,jay,225005,0.97
161,amesay,day,222836,0.98
162,igbay,jay,227169,0.96
163,oupgray,nay,229435,0.93
164,eginbay,vay,218617,0.98
165,eemsay,vay,219627,0.97
166,ountrycay,nay,223138,0.95
167,elphay,vay,216082,0.98
168,alktay,vay,229429,0.92
169,erewhay,cay,213744,0.98
170,urntay,vay,221392,0.94
171,oblempray,nay,217728,0.96
172,everyay,aay,212739,0.97
173,artstay,vay,213952,0.96
174,andhay,nay,225247,0.91
175,ightmay,vay,209059,0.98
176,Americanay,jay,214968,0.95
177,owshay,vay,208037,0.98
178,artpay,nay,207861,0.98
179,aboutay,ray,208550,0.97
180,againstay,iay,204379,0.98
181,aceplay,nay,202427,0.98
182,overay,ray,208260,0.95
183,uchsay,day,207065,0.95
184,againay,ray,206895,0.94
185,ewfay,day,197266,0.97
186,asecay,nay,200773,0.95
187,ostmay,day,197086,0.96
188,eekay,nay,199268,0.95
189,ompanycay,nay,203345,0.93
190,erewhay,ray,194427,0.96
191,ystemsay,nay,200175,0.94
192,eachay,day,196522,0.95
193,ightray,ray,205250,0.90
194,ogrampray,nay,195985,0.93
195,earhay,vay,196070,0.93
196,osay,cay,191893,0.95
197,estionquay,nay,192070,0.95
198,uringday,iay,190729,0.95
199,orkay,nay,187533,0.97
200,ayplay,vay,188328,0.96
201,overnmentgay,nay,191314,0.94
202,unray,vay,187325,0.96
203,allsmay,jay,185463,0.97
204,umbernay,nay,186005,0.96
205,offay,ray,183854,0.95
206,alaysay,ray,179474,0.97
207,ovemay,vay,179388,0.97
208,ikelay,vay,182341,0.95
209,ightnay,nay,184511,0.93
210,ivelay,vay,176144,0.98
211,Mray,nay,188555,0.91
212,ointpay,nay,177481,0.97
213,elievebay,vay,178397,0.96
214,oldhay,vay,177368,0.97
215,odaytay,ray,183724,0.93
216,ingbray,vay,174366,0.98
217,appenhay,vay,182714,0.93
218,extnay,may,176306,0.96
219,ithoutay,iay,172448,0.98
220,eforebay,iay,172769,0.98
221,argelay,jay,175611,0.96
222,allay,ray,177317,0.93
223,illionmay,may,176895,0.93
224,ustmay,vay,171043,0.96
225,omehay,nay,170527,0.96
226,underay,iay,164766,0.98
227,ateray,nay,167666,0.96
228,oomray,nay,172472,0.92
229,itewray,vay,161824,0.98
230,othermay,nay,169407,0.93
231,areaay,nay,165812,0.95
232,ationalnay,jay,166359,0.95
233,oneymay,nay,164794,0.95
234,orystay,nay,163582,0.96
235,oungyay,jay,160011,0.98
236,actfay,nay,164401,0.95
237,onthmay,nay,162685,0.96
238,ifferentday,jay,162411,0.96
239,otlay,nay,169570,0.92
240,ightray,nay,163259,0.95
241,udystay,nay,174069,0.88
242,ookbay,nay,154013,0.98
243,eyeay,nay,169150,0.89
244,objay,nay,154743,0.96
245,orday,nay,152891,0.97
246,oughthay,cay,152182,0.97
247,usinessbay,nay,154468,0.95
248,issueay,nay,156417,0.94
249,idesay,nay,152559,0.96
250,indkay,nay,155032,0.95
251,ourfay,may,150646,0.97
252,eadhay,nay,160131,0.91
253,arfay,ray,148621,0.98
254,ackblay,jay,150718,0.96
255,onglay,jay,149050,0.97
256,othbay,day,146338,0.97
257,ittlelay,jay,149658,0.94
258,ousehay,nay,149251,0.94
259,esyay,uay,157364,0.89
260,afteray,cay,142289,0.98
261,incesay,cay,141264,0.98
262,onglay,ray,142007,0.97
263,ovidepray,vay,150879,0.91
264,ervicesay,nay,146122,0.94
265,arounday,iay,143766,0.96
266,iendfray,nay,142697,0.96
267,importantay,jay,144194,0.95
268,atherfay,nay,145051,0.93
269,itsay,vay,147185,0.92
270,aayay,ray,144713,0.93
271,untilay,cay,140819,0.96
272,owerpay,nay,141357,0.95
273,ourhay,nay,138955,0.96
274,amegay,nay,146311,0.92
275,oftenay,ray,140731,0.95
276,etyay,ray,135484,0.98
277,inelay,nay,135986,0.98
278,oliticalpay,jay,144437,0.92
279,enday,nay,134104,0.98
280,amongay,iay,138192,0.94
281,everay,ray,135774,0.96
282,andstay,vay,140937,0.92
283,adbay,jay,134910,0.96
284,oselay,vay,134102,0.97
285,oweverhay,ray,142282,0.91
286,embermay,nay,134731,0.95
287,aypay,vay,133133,0.96
288,awlay,nay,133706,0.95
289,eetmay,vay,128737,0.98
290,arcay,nay,133571,0.94
291,itycay,nay,132684,0.95
292,almostay,ray,127907,0.98
293,includeay,vay,133563,0.93
294,ontinuecay,vay,126029,0.98
295,etsay,vay,127369,0.97
296,aterlay,ray,126495,0.98
297,ommunitycay,nay,133057,0.93
298,uchmay,ray,126029,0.98
299,amenay,nay,127139,0.97
300,ivefay,may,125571,0.97
301,onceay,ray,126203,0.97
302,itewhay,jay,126760,0.96
303,eastlay,ray,123961,0.98
304,esidentpray,nay,134203,0.90
305,earnlay,vay,124346,0.97
306,ealray,jay,124187,0.97
307,angechay,vay,123183,0.98
308,eamtay,nay,131489,0.92
309,inutemay,nay,126660,0.95
310,estbay,jay,124850,0.96
311,everalsay,day,124039,0.97
312,ideaay,nay,122140,0.98
313,idkay,nay,126428,0.95
314,odybay,nay,125165,0.96
315,informationay,nay,127331,0.94
316,othingnay,pay,126717,0.94
317,agoay,ray,125252,0.95
318,ightray,jay,126278,0.94
319,eadlay,vay,122691,0.97
320,ocialsay,jay,132899,0.89
321,understanday,vay,121354,0.97
322,etherwhay,cay,121921,0.96
323,ackbay,nay,125006,0.94
324,atchay,vay,124976,0.94
325,ogethertay,ray,119186,0.98
326,ollowfay,vay,119425,0.97
327,arounday,ray,122789,0.94
328,arentpay,nay,119610,0.97
329,onlyay,jay,117700,0.98
330,opstay,vay,121481,0.94
331,acefay,nay,127291,0.89
332,anythingay,pay,120292,0.94
333,eatecray,vay,119419,0.95
334,ublicpay,jay,119825,0.95
335,alreadyay,ray,115220,0.98
336,eakspay,vay,117358,0.96
337,othersay,nay,115771,0.97
338,eadray,vay,114094,0.97
339,evellay,nay,121704,0.91
340,alloway,vay,114892,0.97
341,adday,vay,117842,0.94
342,officeay,nay,114791,0.97
343,endspay,vay,114569,0.97
344,oorday,nay,124993,0.88
345,ealthhay,nay,117762,0.94
346,ersonpay,nay,113650,0.97
347,artay,nay,117851,0.93
348,uresay,jay,116186,0.94
349,uchsay,iay,119125,0.92
350,aray,nay,117804,0.93
351,istoryhay,nay,114904,0.95
352,artypay,nay,112962,0.96
353,ithinay,iay,114599,0.93
354,owgray,vay,110020,0.97
355,esultray,nay,116277,0.92
356,openay,vay,111857,0.94
357,angechay,nay,112426,0.94
358,orningmay,nay,114002,0.92
359,alkay,vay,113787,0.92
360,easonray,nay,106863,0.97
361,owlay,jay,108990,0.95
362,inay,vay,111478,0.93
363,esearchray,nay,114802,0.90
364,irlgay,nay,110409,0.93
365,uygay,nay,110409,0.93
366,earlyay,jay,108171,0.95
367,oodfay,nay,107728,0.96
368,eforebay,cay,107448,0.96
369,omentmay,nay,109720,0.94
370,imselfhay,pay,109288,0.94
371,airay,nay,105932,0.96
372,eachertay,nay,116100,0.88
373,orcefay,nay,108005,0.95
374,offeray,vay,106473,0.96
375,enoughay,ray,105880,0.96
376,othbay,ray,106361,0.95
377,educationay,nay,113731,0.89
378,acrossay,iay,105559,0.96
379,althoughay,cay,107925,0.93
380,ememberray,vay,106879,0.94
381,ootfay,nay,107285,0.94
382,econdsay,may,103621,0.97
383,oybay,nay,107447,0.93
384,aybemay,ray,108421,0.92
385,owardtay,iay,105984,0.94
386,ableay,jay,103171,0.97
387,ageay,nay,103402,0.96
388,offay,iay,104122,0.95
389,olicypay,nay,107601,0.92
390,everythingay,pay,103591,0.95
391,ovelay,vay,103681,0.95
392,ocesspray,nay,107341,0.91
393,usicmay,nay,102657,0.95
394,includingay,iay,103650,0.94
395,onsidercay,vay,101987,0.96
396,appearay,vay,100671,0.97
397,actuallyay,ray,105155,0.92
398,uybay,vay,101105,0.95
399,obablypray,ray,99754,0.96
400,umanhay,jay,101224,0.94
401,aitay,vay,102463,0.93
402,ervesay,vay,99660,0.95
403,arketmay,nay,100435,0.94
404,ieday,vay,98376,0.96
405,endsay,vay,96613,0.97
406,expectay,vay,95566,0.98
407,omehay,ray,97937,0.95
408,ensesay,nay,95896,0.97
409,uildbay,vay,96651,0.96
410,aystay,vay,96933,0.96
411,allfay,vay,96908,0.95
412,ohay,uay,103613,0.89
413,ationnay,nay,97212,0.95
414,anplay,nay,95824,0.96
415,utcay,vay,96012,0.95
416,ollegecay,nay,97038,0.94
417,interestay,nay,96620,0.95
418,eathday,nay,93222,0.98
419,oursecay,ray,96224,0.95
420,omeonesay,pay,95608,0.95
421,experienceay,nay,98106,0.93
422,ehindbay,iay,95047,0.93
423,eachray,vay,92375,0.96
424,ocallay,jay,92970,0.95
425,illkay,vay,92660,0.95
426,ixsay,may,90571,0.97
427,emainray,vay,91319,0.96
428,effectay,nay,95216,0.92
429,useay,nay,96564,0.90
430,eahyay,uay,103389,0.84
431,uggestsay,vay,92643,0.93
432,assclay,nay,91323,0.94
433,ontrolcay,nay,90301,0.94
434,aiseray,vay,87036,0.98
435,arecay,nay,88862,0.96
436,erhapspay,ray,87060,0.98
437,ittlelay,ray,88697,0.95
438,atelay,jay,86421,0.98
439,ardhay,jay,86817,0.97
440,ieldfay,nay,87243,0.96
441,elseay,ray,87876,0.95
442,asspay,vay,86184,0.97
443,ormerfay,day,88930,0.94
444,ellsay,vay,87865,0.95
445,ajormay,jay,87487,0.95
446,ometimessay,ray,84845,0.98
447,equireray,vay,89280,0.93
448,alongay,iay,84926,0.97
449,evelopmentday,nay,91995,0.90
450,emselvesthay,pay,85256,0.97
451,eportray,vay,88138,0.93
452,oleray,nay,88666,0.92
453,etterbay,jay,83895,0.98
454,economicay,jay,90392,0.91
455,effortay,nay,86473,0.95
456,upay,iay,85759,0.95
457,ecideday,vay,84035,0.97
458,ateray,nay,87224,0.94
459,ongstray,jay,83677,0.98
460,ossiblepay,jay,85084,0.96
461,earthay,nay,84536,0.96
462,ugdray,nay,86231,0.94
463,owshay,nay,86828,0.94
464,eaderlay,nay,85438,0.95
465,ightlay,nay,87427,0.93
466,oicevay,nay,89379,0.90
467,ifeay,nay,83601,0.96
468,olewhay,jay,83756,0.96
469,olicepay,nay,85880,0.93
470,indmay,nay,82808,0.96
471,inallyfay,ray,81951,0.97
472,ullpay,vay,87243,0.91
473,eturnray,vay,81812,0.97
474,eefray,jay,82090,0.97
475,ilitarymay,jay,85152,0.93
476,icepray,nay,84443,0.94
477,eportray,nay,83174,0.95
478,esslay,ray,82930,0.95
479,accordingay,iay,83773,0.94
480,ecisionday,nay,82429,0.95
481,explainay,vay,80797,0.97
482,onsay,nay,80895,0.97
483,opehay,vay,81385,0.96
484,evenay,cay,79087,0.98
485,evelopday,vay,84835,0.92
486,iewvay,nay,81338,0.96
487,elationshipray,nay,84549,0.92
488,arrycay,vay,79513,0.97
489,owntay,nay,79821,0.97
490,oadray,nay,80987,0.95
491,ivedray,vay,80476,0.96
492,armay,nay,84865,0.91
493,uetray,jay,79299,0.97
494,ederalfay,jay,81826,0.94
495,eakbray,vay,79310,0.97
496,etterbay,ray,78334,0.98
497,ifferenceday,nay,82911,0.92
498,ankthay,vay,88574,0.86
499,eceiveray,vay,80250,0.95
500,aluevay,nay,82942,0.92
501,internationalay,jay,81610,0.93
502,uildingbay,nay,78487,0.97
503,actionay,nay,80009,0.95
504,ullfay,jay,77547,0.97
505,odelmay,nay,82973,0.91
506,oinjay,vay,80609,0.93
507,easonsay,nay,83743,0.89
508,ocietysay,nay,81192,0.92
509,ecausebay,iay,77116,0.97
510,axtay,nay,80713,0.92
511,irectorday,nay,79813,0.93
512,earlyay,ray,75605,0.98
513,ositionpay,nay,77124,0.96
514,ayerplay,nay,81358,0.91
515,agreeay,vay,76753,0.96
516,especiallyay,ray,76304,0.96
517,ecordray,nay,77509,0.94
518,ickpay,vay,77197,0.95
519,earay,vay,77921,0.94
520,aperpay,nay,75383,0.97
521,ecialspay,jay,75298,0.97
522,acespay,nay,75395,0.96
523,oundgray,nay,74713,0.97
524,ormfay,nay,78493,0.92
525,upportsay,vay,76544,0.94
526,eventay,nay,75559,0.95
527,officialay,nay,79026,0.91
528,osewhay,day,74914,0.96
529,attermay,nay,73842,0.97
530,everyoneay,pay,74534,0.96
531,entercay,nay,74559,0.96
532,ouplecay,nay,74871,0.96
533,itesay,nay,75932,0.94
534,enday,vay,73099,0.97
535,ojectpray,nay,75446,0.94
536,ithay,vay,73999,0.95
537,asebay,vay,75887,0.93
538,activityay,nay,77980,0.90
539,arstay,nay,73695,0.95
540,abletay,nay,75228,0.93
541,eednay,nay,74877,0.93
542,ourtcay,nay,74112,0.94
543,oducepray,vay,74169,0.94
544,eatay,vay,73505,0.95
545,Americanay,nay,73063,0.95
546,eachtay,vay,72668,0.95
547,oilay,nay,74386,0.93
548,alfhay,day,70930,0.97
549,ituationsay,nay,72603,0.95
550,easyay,jay,71602,0.96
551,ostcay,nay,73512,0.94
552,industryay,nay,73055,0.94
553,igurefay,nay,74858,0.92
554,acefay,vay,69493,0.98
555,eetstray,nay,71645,0.95
556,imageay,nay,72216,0.94
557,itselfay,pay,71093,0.96
558,onephay,nay,71599,0.95
559,eitheray,ray,69497,0.97
560,ataday,nay,76594,0.88
561,overcay,vay,69387,0.97
562,itequay,ray,69966,0.96
563,icturepay,nay,69229,0.97
564,earclay,jay,68662,0.98
565,acticepray,nay,73745,0.91
566,iecepay,nay,68901,0.97
567,andlay,nay,69750,0.96
568,ecentray,jay,70685,0.94
569,escribeday,vay,71377,0.93
570,oductpray,nay,70883,0.94
571,octorday,nay,69446,0.95
572,allay,nay,71390,0.93
573,atientpay,nay,72217,0.91
574,orkeray,nay,69962,0.94
575,ewsnay,nay,70051,0.94
576,esttay,nay,69870,0.94
577,oviemay,nay,69387,0.94
578,ertaincay,jay,67228,0.97
579,orthnay,nay,68046,0.96
580,ovelay,nay,67495,0.96
581,ersonalpay,jay,67917,0.96
582,openay,jay,67218,0.97
583,upportsay,nay,69431,0.93
584,implysay,ray,66712,0.97
585,irdthay,may,67037,0.97
586,echnologytay,nay,69565,0.93
587,atchcay,vay,68214,0.94
588,epstay,nay,66232,0.97
589,abybay,nay,67881,0.94
590,omputercay,nay,67399,0.95
591,ypetay,nay,68481,0.93
592,attentionay,nay,65271,0.97
593,awdray,vay,65198,0.97
594,ilmfay,nay,66724,0.95
595,Epublicanray,nay,71611,0.88
596,eetray,nay,66630,0.94
597,ourcesay,nay,66862,0.94
598,edray,jay,66217,0.94
599,earlynay,ray,64860,0.96
600,organizationay,nay,67278,0.93
601,oosechay,vay,64348,0.97
602,ausecay,vay,64531,0.97
603,airhay,nay,69564,0.89
604,ooklay,nay,66194,0.94
605,ointpay,vay,62980,0.98
606,enturycay,nay,65667,0.94
607,evidenceay,nay,65360,0.94
608,indoway,nay,68303,0.90
609,ifficultday,jay,63947,0.96
610,istenlay,vay,64984,0.94
611,oonsay,ray,63168,0.96
612,ulturecay,nay,67128,0.91
613,illionbay,may,65243,0.93
614,ancechay,nay,62682,0.97
615,otherbray,nay,63406,0.95
616,energyay,nay,64139,0.94
617,eriodpay,nay,64534,0.93
618,oursecay,nay,64012,0.94
619,ummersay,nay,62503,0.96
620,esslay,day,62154,0.96
621,ealizeray,vay,61732,0.97
622,undredhay,may,61266,0.97
623,availableay,jay,63187,0.94
624,antplay,nay,63476,0.93
625,ikelylay,jay,63002,0.94
626,opportunityay,nay,62422,0.95
627,ermtay,nay,62962,0.94
628,ortshay,jay,60451,0.98
629,etterlay,nay,60369,0.98
630,onditioncay,nay,63489,0.93
631,oicechay,nay,60487,0.97
632,aceplay,vay,60927,0.96
633,inglesay,jay,60072,0.97
634,uleray,nay,61062,0.95
635,aughterday,nay,60424,0.96
636,administrationay,nay,62071,0.93
637,outhsay,nay,60630,0.96
638,usbandhay,nay,60126,0.96
639,Ongresscay,nay,62841,0.92
640,oorflay,nay,62458,0.92
641,ampaigncay,nay,64172,0.90
642,aterialmay,nay,62440,0.92
643,opulationpay,nay,62999,0.91
644,ellay,iay,61219,0.93
645,allcay,nay,59543,0.96
646,economyay,nay,60990,0.93
647,edicalmay,jay,59424,0.96
648,ospitalhay,nay,58669,0.97
649,urchchay,nay,59466,0.96
650,oseclay,vay,60884,0.93
651,ousandthay,may,58307,0.97
652,iskray,nay,60432,0.94
653,urrentcay,jay,61252,0.92
654,irefay,nay,59386,0.95
655,uturefay,nay,58020,0.97
656,ongwray,jay,58988,0.95
657,involveay,vay,59542,0.94
658,efenseday,nay,59701,0.94
659,anyoneay,pay,58274,0.96
660,increaseay,vay,60442,0.93
661,ecuritysay,nay,58914,0.95
662,ankbay,nay,58992,0.94
663,yselfmay,pay,59716,0.93
664,ertainlycay,ray,59739,0.93
665,estay,nay,58169,0.95
666,ortspay,nay,59006,0.94
667,oardbay,nay,58436,0.95
668,eeksay,vay,58495,0.94
669,erpay,iay,59432,0.93
670,ubjectsay,nay,61397,0.90
671,officeray,nay,57617,0.96
672,ivatepray,jay,57248,0.96
673,estray,nay,56714,0.97
674,ehaviorbay,nay,62625,0.88
675,ealday,vay,57462,0.96
676,erformancepay,nay,59909,0.92
677,ightfay,vay,56886,0.96
678,owthray,vay,57784,0.95
679,optay,nay,57743,0.95
680,icklyquay,ray,56454,0.97
681,astpay,jay,56588,0.96
682,oalgay,nay,58728,0.93
683,econdsay,nay,56022,0.97
684,edbay,nay,60304,0.90
685,orderay,nay,56483,0.96
686,authoray,nay,58300,0.93
687,illfay,vay,56915,0.95
688,epresentray,vay,58744,0.92
689,ocusfay,vay,57177,0.94
690,oreignfay,jay,57540,0.94
691,opdray,vay,56448,0.95
692,anplay,vay,55829,0.96
693,oodblay,nay,56351,0.95
694,uponay,iay,57033,0.94
695,agencyay,nay,56954,0.94
696,ushpay,vay,56103,0.95
697,aturenay,nay,57929,0.92
698,olorcay,nay,56978,0.94
699,onay,ray,54602,0.98
700,ecentlyray,ray,55992,0.95
701,orestay,nay,56147,0.95
702,educeray,vay,57029,0.93
703,oundsay,nay,56828,0.94
704,otenay,vay,57025,0.93
705,inefay,jay,55174,0.96
706,eforebay,ray,55608,0.95
707,earnay,iay,54869,0.96
708,ovementmay,nay,56201,0.94
709,agepay,nay,55937,0.94
710,enteray,vay,54479,0.96
711,areshay,vay,54010,0.97
712,anthay,iay,55719,0.94
713,ommoncay,jay,55940,0.93
714,oorpay,jay,53820,0.97
715,otheray,pay,54372,0.96
716,aturalnay,jay,55526,0.94
717,aceray,nay,54838,0.95
718,oncerncay,nay,55203,0.94
719,eriessay,nay,54549,0.95
720,ignificantsay,jay,58947,0.88
721,imilarsay,jay,55901,0.92
722,othay,jay,54601,0.95
723,anguagelay,nay,55799,0.92
724,eachay,pay,53663,0.96
725,usuallyay,ray,53477,0.96
726,esponseray,nay,56342,0.91
727,eadday,jay,55111,0.93
728,iseray,vay,53542,0.95
729,animalay,nay,53127,0.96
730,actorfay,nay,57612,0.89
731,ecadeday,nay,53727,0.95
732,articleay,nay,54871,0.93
733,ootshay,vay,53038,0.95
734,eastay,nay,53010,0.95
735,avesay,vay,52067,0.97
736,evensay,may,52011,0.97
737,artistay,nay,54353,0.92
738,aayay,iay,52005,0.96
739,enescay,nay,51248,0.97
740,ockstay,nay,54305,0.91
741,areercay,nay,52101,0.95
742,espiteday,iay,51526,0.96
743,entralcay,jay,52501,0.94
744,eightay,may,50871,0.97
745,usthay,ray,57039,0.87
746,eatmenttray,nay,53390,0.92
747,eyondbay,iay,50742,0.97
748,appyhay,jay,51669,0.95
749,exactlyay,ray,52685,0.93
750,otectpray,vay,50649,0.97
751,approachay,nay,53980,0.91
752,ielay,vay,51657,0.95
753,izesay,nay,51868,0.95
754,ogday,nay,52347,0.94
755,undfay,nay,53859,0.91
756,erioussay,jay,50285,0.97
757,occuray,vay,52768,0.93
758,ediamay,nay,51798,0.94
759,eadyray,jay,50833,0.96
760,ignsay,nay,50045,0.98
761,oughtthay,nay,51509,0.95
762,istlay,nay,50678,0.96
763,individualay,nay,54738,0.89
764,implesay,jay,50583,0.96
765,alityquay,nay,52224,0.93
766,essurepray,nay,50773,0.96
767,acceptay,vay,49952,0.97
768,answeray,nay,49969,0.97
769,ardhay,ray,50793,0.95
770,esourceray,nay,53398,0.90
771,identifyay,vay,53484,0.90
772,eftlay,jay,50479,0.95
773,eetingmay,nay,49916,0.96
774,etermineday,vay,52130,0.92
775,eparepray,vay,49208,0.98
776,iseaseday,nay,51211,0.94
777,ateverwhay,day,50200,0.96
778,uccesssay,nay,50541,0.95
779,argueay,vay,51013,0.94
780,upcay,nay,53633,0.89
781,articularlypay,ray,50329,0.95
782,amountay,nay,49944,0.95
783,abilityay,nay,51476,0.93
784,affstay,nay,50177,0.95
785,ecognizeray,vay,50042,0.95
786,indicateay,vay,53215,0.89
787,aracterchay,nay,49530,0.96
788,owthgray,nay,50904,0.93
789,osslay,nay,49759,0.95
790,egreeday,nay,50612,0.94
791,onderay,vay,50875,0.93
792,attackay,nay,50898,0.93
793,erselfhay,pay,52915,0.89
794,egionray,nay,50914,0.93
795,elevisiontay,nay,49673,0.95
796,oxbay,nay,49667,0.95
797,TVAY,nay,49438,0.95
798,ainingtray,nay,49997,0.93
799,ettypray,ray,50385,0.93
800,adetray,nay,49696,0.94
801,ealday,nay,48975,0.95
802,electionay,nay,51322,0.91
803,everybodyay,pay,51147,0.91
804,ysicalphay,jay,51451,0.90
805,aylay,vay,49358,0.94
806,eneralgay,jay,49657,0.93
807,eelingfay,nay,47349,0.98
808,andardstay,nay,49876,0.93
809,illbay,nay,49011,0.94
810,essagemay,nay,47533,0.97
811,ailfay,vay,47503,0.97
812,outsideay,iay,46628,0.98
813,arriveay,vay,47435,0.97
814,analysisay,nay,53840,0.85
815,enefitbay,nay,48594,0.94
816,amenay,vay,47375,0.97
817,exsay,nay,47827,0.95
818,orwardfay,ray,47877,0.95
819,awyerlay,nay,47853,0.95
820,esentpray,vay,49659,0.92
821,ectionsay,nay,49764,0.91
822,environmentalay,jay,51192,0.88
823,assglay,nay,49686,0.91
824,answeray,vay,47661,0.95
825,illskay,nay,50431,0.90
826,istersay,nay,48183,0.94
827,PMAY,ray,54765,0.82
828,ofessorpray,nay,46575,0.97
829,operationay,nay,47276,0.95
830,inancialfay,jay,47803,0.94
831,imecray,nay,48010,0.93
832,agestay,nay,46346,0.97
833,okay,ray,54697,0.82
834,omparecay,vay,48094,0.93
835,authorityay,nay,47309,0.94
836,issmay,vay,46525,0.96
837,esignday,nay,48605,0.92
